"","exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","E1","SOURCE_EUI","Reg",1,"meanCent",249,6,6,0.162,0.145,1907.432,43.674,32.482,0.687
"R21","E1","SOURCE_EUI","Reg",1,"meanCent_logDV",249,6,6,0.183,0.166,2102.562,45.854,31.565,0.553
"R22","E1","SOURCE_ENERGY","Reg",1,"meanCent",249,6,6,0.714,0.708,1924859795642.54,1387393.165,658508.238,0.832
"R23","E1","SOURCE_ENERGY","Reg",1,"meanCent_logDV",249,6,6,0.559,0.55,88752343782769.6,9420846.235,1924988.433,0.868
"R27","E2","SOURCE_EUI","RegInt",2,"meanCent",249,16,16,0.203,0.151,1808.331,42.524,31.776,0.667
"R214","E2","SOURCE_EUI","RegInt",2,"meanCent_logDV",249,16,16,0.22,0.17,2056.203,45.345,31.746,0.541
"R224","E2","SOURCE_ENERGY","RegInt",2,"meanCent",249,16,16,0.806,0.793,1629285797468.21,1276434.8,575211.943,0.691
"R234","E2","SOURCE_ENERGY","RegInt",2,"meanCent_logDV",249,16,16,0.688,0.668,111907091746818,10578614.831,1589822.286,0.73
"R24","E2","SOURCE_EUI","RegInt",3,"meanCent",249,26,26,0.228,0.142,1743.865,41.76,31.191,0.655
"R211","E2","SOURCE_EUI","RegInt",3,"meanCent_logDV",249,26,26,0.241,0.156,1991.324,44.624,31.367,0.536
"R221","E2","SOURCE_ENERGY","RegInt",3,"meanCent",249,26,26,0.818,0.797,1551239977425.97,1245487.847,566291.192,0.672
"R231","E2","SOURCE_ENERGY","RegInt",3,"meanCent_logDV",249,26,26,0.701,0.668,45710543652443.2,6760957.303,1324354.218,0.685
"R25","E2","SOURCE_EUI","RegInt",4,"meanCent",249,31,31,0.235,0.13,1717.705,41.445,30.869,0.649
"R212","E2","SOURCE_EUI","RegInt",4,"meanCent_logDV",249,31,31,0.248,0.145,1951.156,44.172,30.941,0.527
"R222","E2","SOURCE_ENERGY","RegInt",4,"meanCent",249,31,31,0.821,0.797,1521525808178.92,1233501.442,558468.811,0.653
"R232","E2","SOURCE_ENERGY","RegInt",4,"meanCent_logDV",249,31,31,0.704,0.663,31690851918180,5629462.845,1263471.877,0.662
"R26","E2","SOURCE_EUI","RegInt",5,"meanCent",249,32,32,0.239,0.131,1708.83,41.338,30.761,0.65
"R213","E2","SOURCE_EUI","RegInt",5,"meanCent_logDV",249,32,32,0.252,0.146,1903.362,43.628,30.56,0.524
"R223","E2","SOURCE_ENERGY","RegInt",5,"meanCent",249,32,32,0.822,0.796,1523798839398.19,1234422.472,558680.343,0.656
"R233","E2","SOURCE_ENERGY","RegInt",5,"meanCent_logDV",249,32,32,0.709,0.667,31351230940241,5599216.993,1197153.617,0.655
"R28","E3a","SOURCE_EUI","rpart",1,"meanCent",249,5,5,0.193,0.18,1890.407,43.479,32.4,0.713
"R215","E3a","SOURCE_EUI","rpart",1,"meanCent_logDV",249,5,5,0.064,0.049,2318.896,48.155,33.821,0.587
"R225","E3a","SOURCE_ENERGY","rpart",1,"meanCent",249,5,5,0.728,0.723,1777828600271.37,1333352.392,609727.511,0.839
"R235","E3a","SOURCE_ENERGY","rpart",1,"meanCent_logDV",249,5,5,0.595,0.588,2226851175578.98,1492263.775,658810.447,0.545
"R29","E3b","SOURCE_EUI","xgboost",1,"meanCent",249,5,5,0.268,0.256,1533.401,39.159,29.226,0.588
"R216","E3b","SOURCE_EUI","xgboost",1,"meanCent_logDV",249,5,5,0,-0.016,6725.733,82.011,67.028,0.913
"R226","E3b","SOURCE_ENERGY","xgboost",1,"meanCent",249,5,5,0.793,0.79,1491594381455.44,1221308.471,559876.875,0.783
"R236","E3b","SOURCE_ENERGY","xgboost",1,"meanCent_logDV",249,5,5,0,-0.016,8397180139455.18,2897788.836,1454242.529,1
