"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse"
"1","E1",1,"Reg","SOURCE_EUI",333,7,8,0.122,0.1,1596.89
"2","E1",1,"Reg","SOURCE_ENERGY",333,7,8,0.355,0.339,132042431002815
"3","E1a",1,"Reg-Lasso","SOURCE_EUI",333,1,1,NA,NA,1803.922
"4","E1a",1,"Reg-Ridge","SOURCE_EUI",333,11,11,0.082,0.054,1801.004
"5","E1a",1,"Reg-ElasticNet","SOURCE_EUI",333,11,11,0.106,0.079,1615.548
"6","E1a",1,"Reg-Lasso","SOURCE_ENERGY",333,6,6,0.325,0.304,164278575989831
"7","E1a",1,"Reg-Ridge","SOURCE_ENERGY",333,11,11,0.35,0.33,171420593362765
"8","E1a",1,"Reg-ElasticNet","SOURCE_ENERGY",333,8,8,0.338,0.317,155760539137922
"9","E2",2,"RegInt","SOURCE_EUI",333,23,29,0.135,0.052,1586.364
"10","E2",2,"RegInt","SOURCE_ENERGY",333,23,29,0.43,0.375,108645680767054
"11","E2",3,"RegInt","SOURCE_EUI",333,48,64,0.217,0.03,1443.026
"12","E2",3,"RegInt","SOURCE_ENERGY",333,48,64,0.504,0.385,93158186699661.2
"13","E2",4,"RegInt","SOURCE_EUI",333,73,99,0.317,0.027,1261.384
"14","E2",4,"RegInt","SOURCE_ENERGY",333,73,99,0.53,0.33,87058623912231
"15","E2",5,"RegInt","SOURCE_EUI",333,85,120,0.349,-0.02,1200.213
"16","E2",5,"RegInt","SOURCE_ENERGY",333,85,120,0.535,0.272,85568268304637.6
"17","E2",6,"RegInt","SOURCE_EUI",333,86,127,0.347,-0.058,1205.663
"18","E2",6,"RegInt","SOURCE_ENERGY",333,86,127,0.535,0.247,85636726486195.5
"19","E2",7,"RegInt","SOURCE_EUI",333,86,128,0.347,-0.063,1205.663
"20","E2",7,"RegInt","SOURCE_ENERGY",333,86,128,0.535,0.243,85636726486195.5
"21","E3a",1,"rpart","SOURCE_EUI",333,7,7,0.056,0.035,1731.609
"22","E3a",1,"rpart","SOURCE_ENERGY",333,7,7,0.491,0.48,95226524885160.7
"23","E3b",1,"xgboost","SOURCE_EUI",333,10,10,0.926,0.923,19500292995665.7
"24","E3b",1,"xgboost","SOURCE_ENERGY",333,10,10,0.77,0.763,54481405097962.4
