"model","dependent","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean","nrmse_sd"
"MLR","SOURCE_EUI",1,"meanCent",176,8,8,0.778,0.769,6750.372,82.161,58.659,0.389,52.784,11.597,38.486,54.204
"MLR","SOURCE_ENERGY",1,"meanCent",176,8,8,0.366,0.339,347218778883425,18633807.418,10190980.614,1.493,85.316,15.677,124.19,92.339
"MLRi2","SOURCE_EUI",2,"meanCent",176,27,29,0.817,0.785,6112.915,78.185,56.112,0.384,50.23,11.036,36.623,51.581
"MLRi3","SOURCE_EUI",3,"meanCent",176,52,64,0.868,0.814,3913.24,62.556,41.046,0.333,40.189,8.83,29.302,41.27
"MLRi4","SOURCE_EUI",4,"meanCent",176,57,99,0.873,0.813,4120.035,64.188,41.834,0.338,41.237,9.06,30.067,42.347
"MLRi5","SOURCE_EUI",5,"meanCent",176,58,120,0.873,0.812,4105.324,64.073,41.632,0.336,41.163,9.044,30.013,42.271
"MLRi6","SOURCE_EUI",6,"meanCent",176,58,127,0.873,0.812,4105.324,64.073,41.632,0.336,41.163,9.044,30.013,42.271
"MLRi7","SOURCE_EUI",7,"meanCent",176,58,128,0.873,0.812,4105.324,64.073,41.632,0.336,41.163,9.044,30.013,42.271
"MLRi2","SOURCE_ENERGY",2,"meanCent",176,27,29,0.518,0.434,329841185119687,18161530.363,9479326.023,1.294,83.153,15.279,121.043,89.998
"MLRi3","SOURCE_ENERGY",3,"meanCent",176,52,64,0.598,0.432,307041516729817,17522600.17,8375168.928,1.454,80.228,14.742,116.784,86.832
"MLRi4","SOURCE_ENERGY",4,"meanCent",176,57,99,0.62,0.441,289186625417582,17005488.097,8200214.532,1.413,77.86,14.307,113.338,84.27
"MLRi5","SOURCE_ENERGY",5,"meanCent",176,58,120,0.621,0.438,291776875858447,17081477.567,8190604.53,1.402,78.208,14.371,113.844,84.646
"MLRi6","SOURCE_ENERGY",6,"meanCent",176,58,127,0.621,0.438,291776875858447,17081477.567,8190604.53,1.402,78.208,14.371,113.844,84.646
"MLRi7","SOURCE_ENERGY",7,"meanCent",176,58,128,0.621,0.438,291776875858447,17081477.567,8190604.53,1.402,78.208,14.371,113.844,84.646
