"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","C1",1,"Reg","SourceEUI",186,28,28,0.19,0.052,4365.937,66.075,43.99,0.889
"R21","C1",1,"Reg","SourceEnergy",186,28,28,0.758,0.717,16853642398091.6,4105318.794,2527585.492,0.952
"1","C2",2,"Reg","SourceEUI",186,88,296,0.522,0.098,2575.652,50.751,27.329,0.508
"2","C2",2,"Reg","SourceEnergy",186,88,296,0.943,0.893,3956734014997.6,1989154.095,1194264.958,0.576
"3","C2",3,"Reg","SourceEUI",186,101,1614,0.597,0.124,2170.618,46.59,21.061,0.391
"4","C2",3,"Reg","SourceEnergy",186,101,1614,0.959,0.912,2824962617216.85,1680762.511,899779.447,0.408
"5","C2",4,"Reg","SourceEUI",186,101,5191,0.597,0.124,2170.618,46.59,21.061,0.391
"6","C2",4,"Reg","SourceEnergy",186,101,5191,0.959,0.912,2824962617216.85,1680762.511,899779.447,0.408
"7","C2",5,"Reg","SourceEUI",186,101,10790,0.597,0.124,2170.618,46.59,21.061,0.391
"8","C2",5,"Reg","SourceEnergy",186,101,10790,0.959,0.912,2824962617216.85,1680762.511,899779.447,0.408
"R22","C3a",1,"rpart","SourceEUI",186,0,0,0,0.005,5391.493,73.427,49.939,1.062
"R211","C3a",1,"rpart","SourceEnergy",186,0,0,0,0.005,69703774838145.1,8348878.658,3344345.698,1.669
"R23","C3b",1,"xgboost_default","SourceEUI",186,10,10,0.126,0.081,4089.842,63.952,42.01,0.893
"R212","E3b",1,"xgboost_default","SourceEnergy",186,11,11,0.851,0.843,9740234619242.57,3120934.895,1987798.253,0.884
"R24","C3b",1,"xgboost_random","SourceEUI",186,6,6,0.176,0.153,3973.917,63.039,42.215,0.894
"R213","E3b",1,"xgboost_random","SourceEnergy",186,6,6,0.194,0.172,50890753145050.8,7133775.518,3075535.793,1.231
